--- Results for: test1.lang ---
Token: ID         | Lexeme: 'Simple_int' | Line: 9, Col: 1
Token: MINUS      | Lexeme: '-' | Line: 18, Col: 29
Token: ID         | Lexeme: 'D' | Line: 18, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 18, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 18, Col: 33
Token: ID         | Lexeme: 'Comparison1' | Line: 21, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 21, Col: 13
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 15
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 16
Token: ID         | Lexeme: 'X' | Line: 21, Col: 17
Token: PLUS       | Lexeme: '+' | Line: 21, Col: 19
Token: ID         | Lexeme: 'Y' | Line: 21, Col: 21
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 22
Token: GT         | Lexeme: '>' | Line: 21, Col: 24
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 26
Token: ID         | Lexeme: 'M' | Line: 21, Col: 27
Token: MINUS      | Lexeme: '-' | Line: 21, Col: 29
Token: ID         | Lexeme: 'N' | Line: 21, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 32
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 33
Token: AND        | Lexeme: '&&' | Line: 21, Col: 35
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 38
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 39
Token: ID         | Lexeme: 'P' | Line: 21, Col: 40
Token: MULT       | Lexeme: '*' | Line: 21, Col: 42
Token: ID         | Lexeme: 'Q' | Line: 21, Col: 44
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 45
Token: LTE        | Lexeme: '<=' | Line: 21, Col: 47
Token: LPAREN     | Lexeme: '(' | Line: 21, Col: 50
Token: ID         | Lexeme: 'R' | Line: 21, Col: 51
Token: DIV        | Lexeme: '/' | Line: 21, Col: 53
Token: ID         | Lexeme: 'S' | Line: 21, Col: 55
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 56
Token: RPAREN     | Lexeme: ')' | Line: 21, Col: 57
Token: SEMI       | Lexeme: ';' | Line: 21, Col: 58
Token: ID         | Lexeme: 'Comparison2' | Line: 22, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 22, Col: 13
Token: LPAREN     | Lexeme: '(' | Line: 22, Col: 15
Token: LPAREN     | Lexeme: '(' | Line: 22, Col: 16
Token: ID         | Lexeme: 'A' | Line: 22, Col: 17
Token: POW        | Lexeme: '**' | Line: 22, Col: 19
Token: INT_LIT    | Lexeme: '2' | Line: 22, Col: 22
Token: RPAREN     | Lexeme: ')' | Line: 22, Col: 23
Token: GTE        | Lexeme: '>=' | Line: 22, Col: 25
Token: INT_LIT    | Lexeme: '100' | Line: 22, Col: 28
Token: RPAREN     | Lexeme: ')' | Line: 22, Col: 31
Token: OR         | Lexeme: '||' | Line: 22, Col: 33
Token: LPAREN     | Lexeme: '(' | Line: 22, Col: 36
Token: LPAREN     | Lexeme: '(' | Line: 22, Col: 37
Token: ID         | Lexeme: 'B' | Line: 22, Col: 38
Token: PLUS       | Lexeme: '+' | Line: 22, Col: 40
Token: ID         | Lexeme: 'C' | Line: 22, Col: 42
Token: RPAREN     | Lexeme: ')' | Line: 22, Col: 43
Token: LT         | Lexeme: '<' | Line: 22, Col: 45
Token: INT_LIT    | Lexeme: '50' | Line: 22, Col: 47
Token: RPAREN     | Lexeme: ')' | Line: 22, Col: 49
Token: SEMI       | Lexeme: ';' | Line: 22, Col: 50
Token: ID         | Lexeme: 'Comparison3' | Line: 23, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 23, Col: 13
Token: LPAREN     | Lexeme: '(' | Line: 23, Col: 15
Token: ID         | Lexeme: 'X' | Line: 23, Col: 16
Token: NEQ        | Lexeme: '!=' | Line: 23, Col: 18
Token: ID         | Lexeme: 'Y' | Line: 23, Col: 21
Token: RPAREN     | Lexeme: ')' | Line: 23, Col: 22
Token: AND        | Lexeme: '&&' | Line: 23, Col: 24
Token: LPAREN     | Lexeme: '(' | Line: 23, Col: 27
Token: ID         | Lexeme: 'Y' | Line: 23, Col: 28
Token: NEQ        | Lexeme: '!=' | Line: 23, Col: 30
Token: ID         | Lexeme: 'Z' | Line: 23, Col: 33
Token: RPAREN     | Lexeme: ')' | Line: 23, Col: 34
Token: AND        | Lexeme: '&&' | Line: 23, Col: 36
Token: LPAREN     | Lexeme: '(' | Line: 23, Col: 39
Token: ID         | Lexeme: 'Z' | Line: 23, Col: 40
Token: NEQ        | Lexeme: '!=' | Line: 23, Col: 42
Token: ID         | Lexeme: 'X' | Line: 23, Col: 45
Token: RPAREN     | Lexeme: ')' | Line: 23, Col: 46
Token: SEMI       | Lexeme: ';' | Line: 23, Col: 47
Token: ID         | Lexeme: 'Logic1' | Line: 26, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 26, Col: 8
Token: LPAREN     | Lexeme: '(' | Line: 26, Col: 10
Token: ID         | Lexeme: 'A' | Line: 26, Col: 11
Token: GT         | Lexeme: '>' | Line: 26, Col: 13
Token: ID         | Lexeme: 'B' | Line: 26, Col: 15
Token: RPAREN     | Lexeme: ')' | Line: 26, Col: 16
Token: AND        | Lexeme: '&&' | Line: 26, Col: 18
Token: LPAREN     | Lexeme: '(' | Line: 26, Col: 21
Token: ID         | Lexeme: 'C' | Line: 26, Col: 22
Token: LT         | Lexeme: '<' | Line: 26, Col: 24
Token: ID         | Lexeme: 'D' | Line: 26, Col: 26
Token: RPAREN     | Lexeme: ')' | Line: 26, Col: 27
Token: OR         | Lexeme: '||' | Line: 26, Col: 29
Token: LPAREN     | Lexeme: '(' | Line: 26, Col: 32
Token: ID         | Lexeme: 'E' | Line: 26, Col: 33
Token: EQ         | Lexeme: '==' | Line: 26, Col: 35
Token: ID         | Lexeme: 'F' | Line: 26, Col: 38
Token: RPAREN     | Lexeme: ')' | Line: 26, Col: 39
Token: SEMI       | Lexeme: ';' | Line: 26, Col: 40
Token: ID         | Lexeme: 'Logic2' | Line: 27, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 27, Col: 8
Token: NOT        | Lexeme: '!' | Line: 27, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 27, Col: 11
Token: LPAREN     | Lexeme: '(' | Line: 27, Col: 12
Token: ID         | Lexeme: 'X' | Line: 27, Col: 13
Token: EQ         | Lexeme: '==' | Line: 27, Col: 15
Token: ID         | Lexeme: 'Y' | Line: 27, Col: 18
Token: RPAREN     | Lexeme: ')' | Line: 27, Col: 19
Token: AND        | Lexeme: '&&' | Line: 27, Col: 21
Token: LPAREN     | Lexeme: '(' | Line: 27, Col: 24
Token: ID         | Lexeme: 'M' | Line: 27, Col: 25
Token: NEQ        | Lexeme: '!=' | Line: 27, Col: 27
Token: ID         | Lexeme: 'N' | Line: 27, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 27, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 27, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 27, Col: 33
Token: ID         | Lexeme: 'Logic3' | Line: 28, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 28, Col: 8
Token: LPAREN     | Lexeme: '(' | Line: 28, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 28, Col: 11
Token: ID         | Lexeme: 'P' | Line: 28, Col: 12
Token: LTE        | Lexeme: '<=' | Line: 28, Col: 14
Token: ID         | Lexeme: 'Q' | Line: 28, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 28, Col: 18
Token: OR         | Lexeme: '||' | Line: 28, Col: 20
Token: LPAREN     | Lexeme: '(' | Line: 28, Col: 23
Token: ID         | Lexeme: 'R' | Line: 28, Col: 24
Token: GTE        | Lexeme: '>=' | Line: 28, Col: 26
Token: ID         | Lexeme: 'S' | Line: 28, Col: 29
Token: RPAREN     | Lexeme: ')' | Line: 28, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 28, Col: 31
Token: AND        | Lexeme: '&&' | Line: 28, Col: 33
Token: NOT        | Lexeme: '!' | Line: 28, Col: 36
Token: LPAREN     | Lexeme: '(' | Line: 28, Col: 37
Token: ID         | Lexeme: 'T' | Line: 28, Col: 38
Token: EQ         | Lexeme: '==' | Line: 28, Col: 40
Token: ID         | Lexeme: 'U' | Line: 28, Col: 43
Token: RPAREN     | Lexeme: ')' | Line: 28, Col: 44
Token: SEMI       | Lexeme: ';' | Line: 28, Col: 45
Token: ID         | Lexeme: 'Total' | Line: 31, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 31, Col: 7
Token: INT_LIT    | Lexeme: '0' | Line: 31, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 31, Col: 10
Token: ID         | Lexeme: 'Total' | Line: 32, Col: 1
Token: PLUS_ASSIGN | Lexeme: '+=' | Line: 32, Col: 7
Token: LPAREN     | Lexeme: '(' | Line: 32, Col: 10
Token: ID         | Lexeme: 'A' | Line: 32, Col: 11
Token: PLUS       | Lexeme: '+' | Line: 32, Col: 13
Token: ID         | Lexeme: 'B' | Line: 32, Col: 15
Token: RPAREN     | Lexeme: ')' | Line: 32, Col: 16
Token: MULT       | Lexeme: '*' | Line: 32, Col: 18
Token: INT_LIT    | Lexeme: '2' | Line: 32, Col: 20
Token: SEMI       | Lexeme: ';' | Line: 32, Col: 21
Token: ID         | Lexeme: 'Total' | Line: 33, Col: 1
Token: MIN_ASSIGN | Lexeme: '-=' | Line: 33, Col: 7
Token: LPAREN     | Lexeme: '(' | Line: 33, Col: 10
Token: ID         | Lexeme: 'C' | Line: 33, Col: 11
Token: MINUS      | Lexeme: '-' | Line: 33, Col: 13
Token: ID         | Lexeme: 'D' | Line: 33, Col: 15
Token: RPAREN     | Lexeme: ')' | Line: 33, Col: 16
Token: DIV        | Lexeme: '/' | Line: 33, Col: 18
Token: INT_LIT    | Lexeme: '3' | Line: 33, Col: 20
Token: SEMI       | Lexeme: ';' | Line: 33, Col: 21
Token: ID         | Lexeme: 'Total' | Line: 34, Col: 1
Token: MULT_ASSIGN | Lexeme: '*=' | Line: 34, Col: 7
Token: LPAREN     | Lexeme: '(' | Line: 34, Col: 10
Token: ID         | Lexeme: 'E' | Line: 34, Col: 11
Token: PLUS       | Lexeme: '+' | Line: 34, Col: 13
Token: ID         | Lexeme: 'F' | Line: 34, Col: 15
Token: RPAREN     | Lexeme: ')' | Line: 34, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 34, Col: 17
Token: ID         | Lexeme: 'Total' | Line: 35, Col: 1
Token: DIV_ASSIGN | Lexeme: '/=' | Line: 35, Col: 7
Token: LPAREN     | Lexeme: '(' | Line: 35, Col: 10
Token: ID         | Lexeme: 'G' | Line: 35, Col: 11
Token: MINUS      | Lexeme: '-' | Line: 35, Col: 13
Token: ID         | Lexeme: 'H' | Line: 35, Col: 15
Token: RPAREN     | Lexeme: ')' | Line: 35, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 35, Col: 17
Token: ID         | Lexeme: 'Element1' | Line: 38, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 38, Col: 10
Token: ID         | Lexeme: 'Array' | Line: 38, Col: 12
Token: LBRACK     | Lexeme: '[' | Line: 38, Col: 17
Token: LPAREN     | Lexeme: '(' | Line: 38, Col: 18
Token: ID         | Lexeme: 'X' | Line: 38, Col: 19
Token: PLUS       | Lexeme: '+' | Line: 38, Col: 21
Token: ID         | Lexeme: 'Y' | Line: 38, Col: 23
Token: RPAREN     | Lexeme: ')' | Line: 38, Col: 24
Token: MULT       | Lexeme: '*' | Line: 38, Col: 26
Token: INT_LIT    | Lexeme: '2' | Line: 38, Col: 28
Token: RBRACK     | Lexeme: ']' | Line: 38, Col: 29
Token: SEMI       | Lexeme: ';' | Line: 38, Col: 30
Token: ID         | Lexeme: 'Element2' | Line: 39, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 39, Col: 10
Token: ID         | Lexeme: 'Matrix' | Line: 39, Col: 12
Token: LBRACK     | Lexeme: '[' | Line: 39, Col: 18
Token: ID         | Lexeme: 'Row' | Line: 39, Col: 19
Token: MULT       | Lexeme: '*' | Line: 39, Col: 23
Token: ID         | Lexeme: 'Cols' | Line: 39, Col: 25
Token: PLUS       | Lexeme: '+' | Line: 39, Col: 30
Token: ID         | Lexeme: 'Col' | Line: 39, Col: 32
Token: RBRACK     | Lexeme: ']' | Line: 39, Col: 35
Token: SEMI       | Lexeme: ';' | Line: 39, Col: 36
Token: ID         | Lexeme: 'Element3' | Line: 40, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 40, Col: 10
Token: ID         | Lexeme: 'Data' | Line: 40, Col: 12
Token: LBRACK     | Lexeme: '[' | Line: 40, Col: 16
Token: LPAREN     | Lexeme: '(' | Line: 40, Col: 17
Token: ID         | Lexeme: 'Index' | Line: 40, Col: 18
Token: PLUS       | Lexeme: '+' | Line: 40, Col: 24
Token: INT_LIT    | Lexeme: '1' | Line: 40, Col: 26
Token: RPAREN     | Lexeme: ')' | Line: 40, Col: 27
Token: POW        | Lexeme: '**' | Line: 40, Col: 29
Token: INT_LIT    | Lexeme: '2' | Line: 40, Col: 32
Token: RBRACK     | Lexeme: ']' | Line: 40, Col: 33
Token: SEMI       | Lexeme: ';' | Line: 40, Col: 34
Token: ID         | Lexeme: 'Value1' | Line: 43, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 43, Col: 8
Token: ID         | Lexeme: 'Counter' | Line: 43, Col: 10
Token: INC        | Lexeme: '++' | Line: 43, Col: 17
Token: PLUS       | Lexeme: '+' | Line: 43, Col: 20
Token: ID         | Lexeme: 'Offset' | Line: 43, Col: 22
Token: SEMI       | Lexeme: ';' | Line: 43, Col: 28
Token: ID         | Lexeme: 'Value2' | Line: 44, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 44, Col: 8
Token: DEC        | Lexeme: '--' | Line: 44, Col: 10
Token: ID         | Lexeme: 'Index' | Line: 44, Col: 12
Token: MULT       | Lexeme: '*' | Line: 44, Col: 18
Token: ID         | Lexeme: 'Scale' | Line: 44, Col: 20
Token: SEMI       | Lexeme: ';' | Line: 44, Col: 25
Token: ID         | Lexeme: 'Value3' | Line: 45, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 45, Col: 8
Token: LPAREN     | Lexeme: '(' | Line: 45, Col: 10
Token: INC        | Lexeme: '++' | Line: 45, Col: 11
Token: ID         | Lexeme: 'A' | Line: 45, Col: 13
Token: RPAREN     | Lexeme: ')' | Line: 45, Col: 14
Token: PLUS       | Lexeme: '+' | Line: 45, Col: 16
Token: LPAREN     | Lexeme: '(' | Line: 45, Col: 18
Token: ID         | Lexeme: 'B' | Line: 45, Col: 19
Token: DEC        | Lexeme: '--' | Line: 45, Col: 20
Token: RPAREN     | Lexeme: ')' | Line: 45, Col: 22
Token: SEMI       | Lexeme: ';' | Line: 45, Col: 23
Token: ID         | Lexeme: 'Force' | Line: 48, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 48, Col: 7
Token: ID         | Lexeme: 'Mass' | Line: 48, Col: 9
Token: MULT       | Lexeme: '*' | Line: 48, Col: 14
Token: LPAREN     | Lexeme: '(' | Line: 48, Col: 16
Token: ID         | Lexeme: 'Velocity' | Line: 48, Col: 17
Token: POW        | Lexeme: '**' | Line: 48, Col: 26
Token: INT_LIT    | Lexeme: '2' | Line: 48, Col: 29
Token: RPAREN     | Lexeme: ')' | Line: 48, Col: 30
Token: SEMI       | Lexeme: ';' | Line: 48, Col: 31
Token: ID         | Lexeme: 'Energy' | Line: 49, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 49, Col: 8
Token: FLOAT_LIT  | Lexeme: '0.5' | Line: 49, Col: 10
Token: MULT       | Lexeme: '*' | Line: 49, Col: 14
Token: ID         | Lexeme: 'Mass' | Line: 49, Col: 16
Token: MULT       | Lexeme: '*' | Line: 49, Col: 21
Token: LPAREN     | Lexeme: '(' | Line: 49, Col: 23
Token: ID         | Lexeme: 'Speed' | Line: 49, Col: 24
Token: POW        | Lexeme: '**' | Line: 49, Col: 30
Token: INT_LIT    | Lexeme: '2' | Line: 49, Col: 33
Token: RPAREN     | Lexeme: ')' | Line: 49, Col: 34
Token: SEMI       | Lexeme: ';' | Line: 49, Col: 35
Token: ID         | Lexeme: 'Distance' | Line: 50, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 50, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 50, Col: 12
Token: ID         | Lexeme: 'Initial_velocity' | Line: 50, Col: 13
Token: MULT       | Lexeme: '*' | Line: 50, Col: 30
Token: ID         | Lexeme: 'Time' | Line: 50, Col: 32
Token: RPAREN     | Lexeme: ')' | Line: 50, Col: 36
Token: PLUS       | Lexeme: '+' | Line: 50, Col: 38
Token: LPAREN     | Lexeme: '(' | Line: 50, Col: 40
Token: FLOAT_LIT  | Lexeme: '0.5' | Line: 50, Col: 41
Token: MULT       | Lexeme: '*' | Line: 50, Col: 45
Token: ID         | Lexeme: 'Acceleration' | Line: 50, Col: 47
Token: MULT       | Lexeme: '*' | Line: 50, Col: 60
Token: LPAREN     | Lexeme: '(' | Line: 50, Col: 62
Token: ID         | Lexeme: 'Time' | Line: 50, Col: 63
Token: POW        | Lexeme: '**' | Line: 50, Col: 68
Token: INT_LIT    | Lexeme: '2' | Line: 50, Col: 71
Token: RPAREN     | Lexeme: ')' | Line: 50, Col: 72
Token: RPAREN     | Lexeme: ')' | Line: 50, Col: 73
Token: SEMI       | Lexeme: ';' | Line: 50, Col: 74
Token: ID         | Lexeme: 'Is_valid' | Line: 53, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 53, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 53, Col: 12
Token: LPAREN     | Lexeme: '(' | Line: 53, Col: 13
Token: ID         | Lexeme: 'Age' | Line: 53, Col: 14
Token: GTE        | Lexeme: '>=' | Line: 53, Col: 18
Token: INT_LIT    | Lexeme: '18' | Line: 53, Col: 21
Token: RPAREN     | Lexeme: ')' | Line: 53, Col: 23
Token: AND        | Lexeme: '&&' | Line: 53, Col: 25
Token: LPAREN     | Lexeme: '(' | Line: 53, Col: 28
Token: ID         | Lexeme: 'Age' | Line: 53, Col: 29
Token: LTE        | Lexeme: '<=' | Line: 53, Col: 33
Token: INT_LIT    | Lexeme: '65' | Line: 53, Col: 36
Token: RPAREN     | Lexeme: ')' | Line: 53, Col: 38
Token: RPAREN     | Lexeme: ')' | Line: 53, Col: 39
Token: OR         | Lexeme: '||' | Line: 53, Col: 41
Token: LPAREN     | Lexeme: '(' | Line: 53, Col: 44
Token: ID         | Lexeme: 'Is_special' | Line: 53, Col: 45
Token: EQ         | Lexeme: '==' | Line: 53, Col: 56
Token: ID         | Lexeme: 'T' | Line: 53, Col: 59
Token: ID         | Lexeme: 'R' | Line: 53, Col: 60
Token: ID         | Lexeme: 'U' | Line: 53, Col: 61
Token: ID         | Lexeme: 'E' | Line: 53, Col: 62
Token: RPAREN     | Lexeme: ')' | Line: 53, Col: 63
Token: SEMI       | Lexeme: ';' | Line: 53, Col: 64
Token: ID         | Lexeme: 'Can_proceed' | Line: 54, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 54, Col: 13
Token: LPAREN     | Lexeme: '(' | Line: 54, Col: 15
Token: LPAREN     | Lexeme: '(' | Line: 54, Col: 16
Token: ID         | Lexeme: 'Score' | Line: 54, Col: 17
Token: GT         | Lexeme: '>' | Line: 54, Col: 23
Token: INT_LIT    | Lexeme: '50' | Line: 54, Col: 25
Token: RPAREN     | Lexeme: ')' | Line: 54, Col: 27
Token: AND        | Lexeme: '&&' | Line: 54, Col: 29
Token: LPAREN     | Lexeme: '(' | Line: 54, Col: 32
Token: ID         | Lexeme: 'Attempts' | Line: 54, Col: 33
Token: LT         | Lexeme: '<' | Line: 54, Col: 42
Token: INT_LIT    | Lexeme: '3' | Line: 54, Col: 44
Token: RPAREN     | Lexeme: ')' | Line: 54, Col: 45
Token: RPAREN     | Lexeme: ')' | Line: 54, Col: 46
Token: OR         | Lexeme: '||' | Line: 54, Col: 48
Token: LPAREN     | Lexeme: '(' | Line: 54, Col: 51
Token: ID         | Lexeme: 'Override' | Line: 54, Col: 52
Token: EQ         | Lexeme: '==' | Line: 54, Col: 61
Token: ID         | Lexeme: 'T' | Line: 54, Col: 64
Token: ID         | Lexeme: 'R' | Line: 54, Col: 65
Token: ID         | Lexeme: 'U' | Line: 54, Col: 66
Token: ID         | Lexeme: 'E' | Line: 54, Col: 67
Token: RPAREN     | Lexeme: ')' | Line: 54, Col: 68
Token: SEMI       | Lexeme: ';' | Line: 54, Col: 69
Token: ID         | Lexeme: 'Should_retry' | Line: 55, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 55, Col: 14
Token: LPAREN     | Lexeme: '(' | Line: 55, Col: 16
Token: LPAREN     | Lexeme: '(' | Line: 55, Col: 17
Token: ID         | Lexeme: 'Failures' | Line: 55, Col: 18
Token: LTE        | Lexeme: '<=' | Line: 55, Col: 27
Token: ID         | Lexeme: 'Max_retries' | Line: 55, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 55, Col: 41
Token: AND        | Lexeme: '&&' | Line: 55, Col: 43
Token: LPAREN     | Lexeme: '(' | Line: 55, Col: 46
Token: ID         | Lexeme: 'Time_elapsed' | Line: 55, Col: 47
Token: LT         | Lexeme: '<' | Line: 55, Col: 60
Token: ID         | Lexeme: 'Timeout' | Line: 55, Col: 62
Token: RPAREN     | Lexeme: ')' | Line: 55, Col: 69
Token: RPAREN     | Lexeme: ')' | Line: 55, Col: 70
Token: AND        | Lexeme: '&&' | Line: 55, Col: 72
Token: LPAREN     | Lexeme: '(' | Line: 55, Col: 75
Token: NOT        | Lexeme: '!' | Line: 55, Col: 76
Token: ID         | Lexeme: 'Is_cancelled' | Line: 55, Col: 77
Token: RPAREN     | Lexeme: ')' | Line: 55, Col: 89
Token: SEMI       | Lexeme: ';' | Line: 55, Col: 90
Token: ID         | Lexeme: 'Shifted_left' | Line: 58, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 58, Col: 14
Token: ID         | Lexeme: 'Value' | Line: 58, Col: 16
Token: MULT       | Lexeme: '*' | Line: 58, Col: 22
Token: LPAREN     | Lexeme: '(' | Line: 58, Col: 24
Token: INT_LIT    | Lexeme: '2' | Line: 58, Col: 25
Token: POW        | Lexeme: '**' | Line: 58, Col: 27
Token: INT_LIT    | Lexeme: '3' | Line: 58, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 58, Col: 31
Token: SEMI       | Lexeme: ';' | Line: 58, Col: 32
Token: ID         | Lexeme: 'Shifted_right' | Line: 59, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 59, Col: 15
Token: ID         | Lexeme: 'Value' | Line: 59, Col: 17
Token: DIV        | Lexeme: '/' | Line: 59, Col: 23
Token: LPAREN     | Lexeme: '(' | Line: 59, Col: 25
Token: INT_LIT    | Lexeme: '2' | Line: 59, Col: 26
Token: POW        | Lexeme: '**' | Line: 59, Col: 28
Token: INT_LIT    | Lexeme: '2' | Line: 59, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 59, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 59, Col: 33
Token: ID         | Lexeme: 'Combined' | Line: 60, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 60, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 60, Col: 12
Token: ID         | Lexeme: 'A' | Line: 60, Col: 13
Token: MULT       | Lexeme: '*' | Line: 60, Col: 15
Token: INT_LIT    | Lexeme: '256' | Line: 60, Col: 17
Token: RPAREN     | Lexeme: ')' | Line: 60, Col: 20
Token: PLUS       | Lexeme: '+' | Line: 60, Col: 22
Token: LPAREN     | Lexeme: '(' | Line: 60, Col: 24
Token: ID         | Lexeme: 'B' | Line: 60, Col: 25
Token: MULT       | Lexeme: '*' | Line: 60, Col: 27
Token: INT_LIT    | Lexeme: '16' | Line: 60, Col: 29
Token: RPAREN     | Lexeme: ')' | Line: 60, Col: 31
Token: PLUS       | Lexeme: '+' | Line: 60, Col: 33
Token: ID         | Lexeme: 'C' | Line: 60, Col: 35
Token: SEMI       | Lexeme: ';' | Line: 60, Col: 36
Token: ID         | Lexeme: 'X' | Line: 63, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 63, Col: 3
Token: ID         | Lexeme: 'Y' | Line: 63, Col: 5
Token: INC        | Lexeme: '++' | Line: 63, Col: 6
Token: PLUS       | Lexeme: '+' | Line: 63, Col: 9
Token: ID         | Lexeme: 'Z' | Line: 63, Col: 11
Token: INC        | Lexeme: '++' | Line: 63, Col: 12
Token: SEMI       | Lexeme: ';' | Line: 63, Col: 14
Token: ID         | Lexeme: 'Result' | Line: 64, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 64, Col: 8
Token: LPAREN     | Lexeme: '(' | Line: 64, Col: 10
Token: INC        | Lexeme: '++' | Line: 64, Col: 11
Token: ID         | Lexeme: 'A' | Line: 64, Col: 13
Token: RPAREN     | Lexeme: ')' | Line: 64, Col: 14
Token: MULT       | Lexeme: '*' | Line: 64, Col: 16
Token: LPAREN     | Lexeme: '(' | Line: 64, Col: 18
Token: DEC        | Lexeme: '--' | Line: 64, Col: 19
Token: ID         | Lexeme: 'B' | Line: 64, Col: 21
Token: RPAREN     | Lexeme: ')' | Line: 64, Col: 22
Token: PLUS       | Lexeme: '+' | Line: 64, Col: 24
Token: LPAREN     | Lexeme: '(' | Line: 64, Col: 26
Token: ID         | Lexeme: 'C' | Line: 64, Col: 27
Token: INC        | Lexeme: '++' | Line: 64, Col: 28
Token: RPAREN     | Lexeme: ')' | Line: 64, Col: 30
Token: MINUS      | Lexeme: '-' | Line: 64, Col: 32
Token: LPAREN     | Lexeme: '(' | Line: 64, Col: 34
Token: ID         | Lexeme: 'D' | Line: 64, Col: 35
Token: DEC        | Lexeme: '--' | Line: 64, Col: 36
Token: RPAREN     | Lexeme: ')' | Line: 64, Col: 38
Token: SEMI       | Lexeme: ';' | Line: 64, Col: 39
Token: ID         | Lexeme: 'Final' | Line: 65, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 65, Col: 7
Token: LPAREN     | Lexeme: '(' | Line: 65, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 65, Col: 10
Token: ID         | Lexeme: 'X' | Line: 65, Col: 11
Token: PLUS_ASSIGN | Lexeme: '+=' | Line: 65, Col: 13
Token: INT_LIT    | Lexeme: '5' | Line: 65, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 65, Col: 17
Token: MULT       | Lexeme: '*' | Line: 65, Col: 19
Token: LPAREN     | Lexeme: '(' | Line: 65, Col: 21
Token: ID         | Lexeme: 'Y' | Line: 65, Col: 22
Token: MIN_ASSIGN | Lexeme: '-=' | Line: 65, Col: 24
Token: INT_LIT    | Lexeme: '3' | Line: 65, Col: 27
Token: RPAREN     | Lexeme: ')' | Line: 65, Col: 28
Token: RPAREN     | Lexeme: ')' | Line: 65, Col: 29
Token: DIV        | Lexeme: '/' | Line: 65, Col: 31
Token: LPAREN     | Lexeme: '(' | Line: 65, Col: 33
Token: ID         | Lexeme: 'Z' | Line: 65, Col: 34
Token: MULT_ASSIGN | Lexeme: '*=' | Line: 65, Col: 36
Token: INT_LIT    | Lexeme: '2' | Line: 65, Col: 39
Token: RPAREN     | Lexeme: ')' | Line: 65, Col: 40
Token: SEMI       | Lexeme: ';' | Line: 65, Col: 41
Token: ID         | Lexeme: 'Ultimate' | Line: 68, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 68, Col: 10
